jmp
nop
cpc
muls
mulsu
sbc
and
ld
eor
out
ldi
rjmp
st
cpi
brne
call
lpm
breq
brcc
add
adc
subi
sbci
in
cli
cpse
com
ret
lds
andi
sts
or
sbis
adiw
mov
movw
dec
push
sub
brcs
cp
pop
reti
sei
ori
sbiw
